,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,FlowTerminationReason,FlowType,HostType,Predicted Probability,Predicted Type
3812,147.32.84.180-212.117.171.138-1589-65500-6,147.32.84.180,1589,212.117.171.138,65500,TCP,11/08/2011 12:20:07 PM,24911401,14,16,4788.0,3658.0,1460.0,0.0,342.0,608.0709725782901,2896.0,0.0,228.625,719.2302250786369,339.0415496904409,1.2042678771860322,859013.827586207,2252714.7191506843,8964987.0,9.0,24724111.0,1901854.6923076925,3135930.938351385,8964987.0,81.0,24888983.0,1659265.5333333334,3031553.030684364,9112243.0,9.0,0,0,0,0,288,328,0.5619916760201483,0.6422762011658838,0.0,2896.0,272.4516129032258,651.6342449927811,424627.1892473118,1,2,0,12,29,0,0,0,1.0,281.53333333333336,342.0,228.625,0,0,0,7001,9,7313,0,159,0,121,64240,17520,7,20,2252541.0,2708121.3912086734,4167472.0,337610.0,TCP_FIN,Neris,INFECTED,0.97829676,MALICIOUS
3899,184.154.89.154-147.32.84.180-8735-4898-6,184.154.89.154,8735,147.32.84.180,4898,TCP,11/08/2011 12:11:42 PM,609421250,829,826,9372.0,25.0,66.0,0.0,11.305186972255736,8.019435004856934,5.0,0.0,0.0302663438256658,0.3880695679656425,15.419547644589027,2.715691321889416,368452.9927448605,802505.0055136838,14054231.0,109.0,609254962.0,735815.1714975843,1094509.9144957191,14206457.0,63567.0,609295219.0,738539.6593939393,1092874.0782131725,14245598.0,140227.0,1,0,0,0,16580,16520,1.360307012595967,1.3553843092934486,0.0,66.0,5.677536231884068,8.001956118396349,64.03130172074077,0,0,0,831,1655,0,0,0,0.0,5.6809667673716016,11.30518697225573,0.0302663438256658,0,0,0,86,7,30,0,5,0,0,64215,63536,825,20,39771329.090909086,56351344.87239149,168090060.0,485769.0,IDLE_TIMEOUT,Neris,INFECTED,0.9781983,MALICIOUS
4514,184.154.89.154-147.32.84.180-8735-4898-6,184.154.89.154,8735,147.32.84.180,4898,TCP,11/08/2011 12:21:53 PM,609597278,697,695,7225.0,25.0,63.0,0.0,10.3658536585366,7.328862337137622,5.0,0.0,0.0359712230215827,0.4228705244382772,11.89309772475723,2.283474763153388,438243.9094176856,1118822.938155509,25004441.0,98.0,609430917.0,875619.1336206896,1534479.9043486305,25171142.0,133902.0,609486446.0,878222.544668588,1542978.2191918727,25180070.0,63998.0,1,0,0,0,13940,13900,1.1433778088490745,1.1400969543043138,0.0,63.0,5.212491026561381,7.324336630750856,53.6459070805588,0,0,0,700,1392,0,0,0,0.0,5.216235632183908,10.365853658536585,0.0359712230215827,0,0,0,67,6,26,0,5,0,0,64190,64235,694,20,132316219.5,129279797.01920237,308136562.0,2531063.0,IDLE_TIMEOUT,Neris,INFECTED,0.9815476,MALICIOUS
5154,147.32.84.180-195.113.232.96-1923-80-6,147.32.84.180,1923,195.113.232.96,80,TCP,11/08/2011 12:38:33 PM,112912563,22,7,1358.0,31444.0,702.0,0.0,61.727272727272734,199.91835996063656,8867.0,0.0,4492.0,4122.474378331538,290.50797474148203,0.2568359023078769,4032591.535714285,14905398.533716649,63271827.0,23.0,112912563.0,5376788.714285715,17098008.341470204,63271827.0,23.0,49639476.0,8273246.000000001,20262647.005170584,49634201.0,861.0,0,0,0,0,448,148,0.19484102933701,0.0619948729708668,0.0,8867.0,1093.4,2679.89096021101,7181815.558620689,1,2,0,4,28,0,0,0,0.0,1131.103448275862,61.72727272727273,4492.0,0,0,0,14519,4,3848131,0,46,0,1084,64240,8424,2,20,68580.5,92230.05879050496,133797.0,3364.0,TCP_FIN,Neris,INFECTED,0.90086144,MALICIOUS
5504,173.236.31.226-147.32.84.180-7212-2611-6,173.236.31.226,7212,147.32.84.180,2611,TCP,11/08/2011 12:35:50 PM,609916020,610,607,5432.0,30.0,38.0,0.0,8.904918032786895,4.937787882468455,5.0,0.0,0.0494233937397034,0.4950535827714674,8.95533126019546,1.9953566722185785,501575.6743421053,727608.4039929938,6296476.0,71.0,609916020.0,1001504.1379310348,903588.8314300874,6494178.0,152663.0,609611745.0,1005959.975247524,909119.9061491208,6420473.0,200195.0,1,0,0,0,12200,12140,1.000137691087373,0.9952189811312055,0.0,38.0,4.488505747126433,5.650484020283908,31.927969663483804,0,0,0,613,1217,0,0,0,0.0,4.492193919474117,8.904918032786885,0.0494233937397034,0,0,0,48,5,21,0,4,0,0,64110,63191,606,20,202193571.0,65536353.53664407,248534771.0,155852371.0,IDLE_TIMEOUT,Neris,INFECTED,0.97246575,MALICIOUS
5836,184.154.89.154-147.32.84.180-8735-4898-6,184.154.89.154,8735,147.32.84.180,4898,TCP,11/08/2011 12:42:15 PM,609073032,835,834,9255.0,35.0,44.0,0.0,11.083832335329342,7.681936498379839,5.0,0.0,0.0419664268585132,0.4564216672850767,15.252686479147872,2.74022968069944,365151.6978417267,838282.4751926519,20617037.0,206.0,608958982.0,730166.6450839331,1162808.3815806012,21510895.0,134686.0,608920199.0,730996.6374549825,1146509.4223226053,20718431.0,3202.0,1,0,0,0,16700,16680,1.3709357599664664,1.3692939207329735,0.0,44.0,5.56946107784431,7.75182162301977,60.09073847511686,0,0,0,840,1669,0,0,0,0.0,5.572798082684242,11.083832335329342,0.0419664268585131,0,0,0,88,7,28,0,5,0,0,64145,63254,832,20,54942879.25,58244352.65848936,150632984.0,803585.0,IDLE_TIMEOUT,Neris,INFECTED,0.97758853,MALICIOUS
5863,147.32.84.180-46.4.36.120-1820-443-6,147.32.84.180,1820,46.4.36.120,443,TCP,11/08/2011 12:37:23 PM,559431846,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178752784123769,62159094.0,182761764.72276428,549494768.0,27491.0,559404355.0,111880871.0,244665002.2966709,549532776.0,501630.0,550527265.0,183509088.3333333,316976736.8269257,549522297.0,501713.0,0,0,0,0,168,80,0.0107251670474261,0.0071501113649507,0.0,0.0,0.0,0.0,0.0,0,6,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,28,1492773.0,2057348.393065696,2947538.0,38008.0,IDLE_TIMEOUT,Neris,INFECTED,0.9995933,MALICIOUS
5875,147.32.84.180-93.184.220.20-1629-80-6,147.32.84.180,1629,93.184.220.20,80,TCP,11/08/2011 12:52:58 PM,15074192,5,2,356.0,0.0,356.0,0.0,71.2,159.20803999798505,0.0,0.0,0.0,0.0,23.61652286238625,0.4643698315637747,2512365.333333333,2951838.286943624,6020175.0,248.0,9062853.0,2265713.25,2873361.3956376803,6020175.0,260.0,6011847.0,6011847.0,0.0,6011847.0,6011847.0,0,0,0,0,124,48,0.3316927368312676,0.132677094732507,0.0,356.0,44.5,125.86500705120544,15841.999999999998,1,4,0,1,4,0,0,0,0.0,50.85714285714285,71.2,0.0,0,0,0,0,0,0,0,50,0,0,64240,15544,1,20,1521339.0,2104996.07640917,3009796.0,32882.0,TCP_FIN,Neris,INFECTED,0.99682814,MALICIOUS
5977,147.32.84.180-212.117.171.138-3146-65500-6,147.32.84.180,3146,212.117.171.138,65500,TCP,11/08/2011 12:54:50 PM,22493026,30,29,23522.0,1114.0,1460.0,0.0,784.0666666666666,688.3615195587239,773.0,0.0,38.41379310344828,147.68342523340235,1095.2728192285022,2.6230352465693145,387810.7931034484,1776008.6659923582,10925421.0,174.0,22493026.0,775621.5862068966,2503960.7283405527,11114613.0,174.0,22442038.0,801501.3571428572,2541058.5971045424,10925672.0,175.0,0,0,0,0,608,588,1.3337467355437191,1.2892885110255952,0.0,1460.0,410.6,620.5815260773354,385121.4305084745,1,2,0,15,58,0,0,0,0.0,417.5593220338983,784.0666666666667,38.41379310344828,0,0,0,12318,14,8198,0,398,0,18,64240,58400,22,20,406917.5,543406.6115943935,791164.0,22671.0,TCP_FIN,Neris,INFECTED,0.99303955,MALICIOUS
6012,147.32.84.180-212.117.171.138-3572-65500-6,147.32.84.180,3572,212.117.171.138,65500,TCP,11/08/2011 12:55:30 PM,15598209,17,15,5841.0,994.0,1460.0,0.0,343.5882352941176,572.543017906027,665.0,0.0,66.26666666666667,174.7861823022905,438.19133337679983,2.0515175812812867,503168.0322580646,1448569.015637674,6334995.0,81.0,15598209.0,974888.0625,1937125.5794809817,6334995.0,81.0,15516570.0,1108326.4285714289,2127410.948463584,6535437.0,98.0,0,0,0,0,348,308,1.0898687150556836,0.9616488662256032,0.0,1460.0,207.12121212121212,444.75012349462577,197802.6723484849,1,2,0,13,31,0,0,0,0.0,213.59375,343.5882352941176,66.26666666666667,0,0,0,6819,11,3630,0,182,0,31,64240,20440,9,20,1018311.5,891477.0962063468,1648681.0,387942.0,TCP_FIN,Neris,INFECTED,0.95470303,MALICIOUS
6077,147.32.84.180-212.117.171.138-4790-65500-6,147.32.84.180,4790,212.117.171.138,65500,TCP,11/08/2011 12:56:26 PM,22669823,15,17,4388.0,3674.0,1460.0,0.0,292.53333333333336,546.2478331655835,1460.0,0.0,216.11764705882356,477.3313684371871,355.62694953551244,1.4115681450181592,731284.6129032258,2198927.37328692,9924646.0,13.0,22483240.0,1605945.7142857143,3146199.144881094,10071416.0,84.0,22647504.0,1415469.0000000002,2984435.528484027,9924829.0,13.0,0,0,0,0,308,348,0.661672567977262,0.749895577040897,0.0,1460.0,244.3030303030303,497.8396758023915,247844.3428030303,1,2,0,12,31,0,0,0,1.0,251.9375,292.53333333333336,216.11764705882356,0,0,0,8046,11,5119,0,137,0,114,64240,17520,7,20,185229.0,230130.73036428663,347956.0,22502.0,TCP_FIN,Neris,INFECTED,0.94200265,MALICIOUS
6361,184.154.89.154-147.32.84.180-8735-4898-6,184.154.89.154,8735,147.32.84.180,4898,TCP,11/08/2011 12:52:27 PM,609814962,631,627,5781.0,25.0,43.0,0.0,9.161648177496035,5.432633885141969,5.0,0.0,0.0398724082934608,0.4450709635643382,9.520920872387515,2.0629208504070777,485135.2124105011,894149.1221230469,17998379.0,182.0,609649327.0,967697.3444444444,1175712.7830243227,18114964.0,135025.0,609644966.0,973873.7476038336,1174662.435676366,18164098.0,138757.0,1,0,0,0,12620,12540,1.0347401085905137,1.0281807418165645,0.0,43.0,4.6155679110405,5.973306737271964,35.68039337753864,0,0,0,632,1258,0,0,0,0.0,4.619236883942766,9.16164817749604,0.0398724082934609,0,0,0,53,5,24,0,4,0,0,64120,63653,626,20,132749945.75,216531321.33201376,452866259.0,123470.0,IDLE_TIMEOUT,Neris,INFECTED,0.9883809,MALICIOUS
6429,147.32.84.180-173.192.170.88-4156-80-6,147.32.84.180,4156,173.192.170.88,80,TCP,11/08/2011 01:03:29 PM,47186333,7,4,374.0,261.0,187.0,0.0,53.42857142857142,91.24665682068786,261.0,0.0,65.25,130.5,13.457286456228756,0.2331183480606556,4718633.3,6857589.970110458,20840715.0,290.0,42315616.0,7052602.666666667,8216314.021439922,21170655.0,290.0,37984141.0,12661380.333333334,7933306.801909676,20840715.0,4999428.0,0,0,0,0,164,84,0.1483480396749626,0.0847703083856929,0.0,261.0,52.91666666666666,97.44784930070716,9496.083333333334,1,4,0,3,8,0,0,0,0.0,57.72727272727273,53.42857142857143,65.25,0,0,0,0,0,0,0,34,0,23,64240,6432,2,20,1128315.0,1605494.1925248438,2982180.0,201229.0,TCP_FIN,Neris,INFECTED,0.9958972,MALICIOUS
6447,147.32.84.180-173.192.170.88-4363-80-6,147.32.84.180,4363,173.192.170.88,80,TCP,11/08/2011 01:06:18 PM,30126284,13,11,908.0,3083.0,227.0,0.0,69.84615384615385,109.04727274126436,1330.0,0.0,280.2727272727273,395.4898458643637,132.47568136846883,0.7966465429324108,1309838.4347826084,2694771.860090636,11514446.0,189.0,25257991.0,2104832.583333333,3357087.668230834,11514446.0,271.0,29925596.0,2992559.6,3726414.122126411,11715475.0,542.0,0,0,0,0,268,244,0.4315168774217225,0.3651296655106883,0.0,1330.0,159.63999999999996,288.4726850154101,83216.49,1,4,0,10,23,0,0,0,0.0,166.29166666666666,69.84615384615384,280.27272727272725,0,0,0,2805,5,2531,0,37,0,128,64240,6432,4,20,2126553.5,2264180.662096666,3727571.0,525536.0,TCP_FIN,Neris,INFECTED,0.99051124,MALICIOUS
6579,184.154.89.154-147.32.84.180-8735-4898-6,184.154.89.154,8735,147.32.84.180,4898,TCP,11/08/2011 01:02:38 PM,609774447,707,706,6950.0,30.0,58.0,0.0,9.830268741159832,5.919865275931787,5.0,0.0,0.0424929178470254,0.4593013696656285,11.44685552886082,2.317250266802341,431851.5913597738,2645130.1139281667,97813724.0,138.0,609606875.0,863465.8286118967,3721949.512741333,97986263.0,94266.0,609652950.0,864755.9574468088,3723098.078601853,97947976.0,100469.0,1,0,0,0,14140,14120,1.1594451087255877,1.1578051580767537,0.0,58.0,4.944130127298455,6.449136080002032,41.59135617838397,0,0,0,711,1413,0,0,0,0.0,4.9476291578202405,9.83026874115983,0.0424929178470254,0,0,0,66,6,25,0,4,0,0,64095,63040,704,20,247828654.5,262517228.5697937,433456367.0,62200942.0,IDLE_TIMEOUT,Neris,INFECTED,0.9910301,MALICIOUS
6827,184.154.89.154-147.32.84.180-8735-4898-6,184.154.89.154,8735,147.32.84.180,4898,TCP,11/08/2011 01:12:49 PM,609568854,589,588,5769.0,20.0,43.0,0.0,9.794567062818336,6.076068621137953,5.0,0.0,0.0340136054421768,0.4113378842393294,9.496876295454555,1.930872931378479,518340.8622448983,5466644.770821181,187030460.0,207.0,609447628.0,1036475.5578231292,7717342.270005463,187195370.0,134783.0,609408661.0,1038174.8909710384,7721605.663521071,187142177.0,136519.0,1,0,0,0,11780,11760,0.9662567175717282,0.9646162138067508,0.0,43.0,4.918505942275053,6.507310872567342,42.34509479223315,0,0,0,591,1177,0,0,0,0.0,4.92268479184367,9.794567062818336,0.0340136054421768,0,0,0,64,6,26,0,4,0,0,64070,63371,586,20,162302779.0,18408503.985999733,175319557.0,149286001.0,IDLE_TIMEOUT,Neris,INFECTED,0.9963798,MALICIOUS
6850,173.236.31.226-147.32.84.180-7212-2611-6,173.236.31.226,7212,147.32.84.180,2611,TCP,11/08/2011 01:16:33 PM,609668450,799,796,7530.0,25.0,44.0,0.0,9.424280350438044,5.691435873948685,5.0,0.0,0.0314070351758793,0.3952784610713337,12.391981248168577,2.6161760543784083,382477.070263488,551032.5754418063,8063545.0,185.0,609514361.0,763802.4573934829,703623.5867553455,8193804.0,146670.0,609486576.0,766649.7811320748,704854.3216512853,8229541.0,241910.0,1,0,0,0,15980,15920,1.3105483808453595,1.305627673533049,0.0,44.0,4.736842105263164,6.191989652136834,38.34073585216963,0,0,0,801,1595,0,0,0,0.0,4.739811912225705,9.424280350438048,0.0314070351758793,0,0,0,61,6,23,0,4,0,0,64010,62966,795,20,252588438.5,347041967.39312583,497984167.0,7192710.0,IDLE_TIMEOUT,Neris,INFECTED,0.9762883,MALICIOUS
6939,184.154.89.154-147.32.84.180-8735-4898-6,184.154.89.154,8735,147.32.84.180,4898,TCP,11/08/2011 01:22:59 PM,609934341,878,875,8802.0,25.0,48.0,0.0,10.0250569476082,6.361895612883595,5.0,0.0,0.0285714285714285,0.3770985738809073,14.472049541476792,2.8740798511622088,348136.0393835616,579005.959807388,10992398.0,182.0,609784937.0,695307.795895096,767783.2944245894,10992398.0,71079.0,609788225.0,697698.1979405032,772786.3693783178,11534464.0,140083.0,1,0,0,0,17560,17500,1.439499206685921,1.434580644476288,0.0,48.0,5.035347776510837,6.730650720419469,45.30165912028311,0,0,0,880,1753,0,0,0,0.0,5.038220193953223,10.0250569476082,0.0285714285714285,0,0,0,81,7,25,0,5,0,0,64055,63978,874,20,169259835.6666667,162204969.46590513,329491972.0,5151512.0,IDLE_TIMEOUT,Neris,INFECTED,0.9748853,MALICIOUS
