,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Fwd Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min
3199,156209103,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31241820.6,59908341.57168976,138376076.0,2904792.0,156209103.0,31241820.6,59908341.57168976,138376076.0,2904792.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
3207,156209329,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31241865.8,59840974.47814938,138256754.0,3006502.0,156209329.0,31241865.8,59840974.47814938,138256754.0,3006502.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
3643,139397444,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27879488.8,52300942.763781056,121398676.0,2948483.0,139397444.0,27879488.8,52300942.763781056,121398676.0,2948483.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
3753,282135397,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56427079.4,116331473.86358988,264508656.0,2712024.0,282135397.0,56427079.4,116331473.86358988,264508656.0,2712024.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
3873,155338609,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31067721.8,59700486.8011076,137825736.0,2604769.0,155338609.0,31067721.8,59700486.8011076,137825736.0,2604769.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
3967,286243097,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57248619.4,118195277.24275915,268662577.0,2508583.0,286243097.0,57248619.4,118195277.24275915,268662577.0,2508583.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4056,151408224,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30281644.8,57701999.4243758,133467992.0,3000511.0,151408224.0,30281644.8,57701999.4243758,133467992.0,3000511.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4065,292824463,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36603057.875,59565526.06604838,136817578.0,2867050.0,292824463.0,36603057.875,59565526.06604838,136817578.0,2867050.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,252,0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4115,135708339,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27141667.8,50699853.917956784,117796980.0,2979987.0,135708339.0,27141667.8,50699853.917956784,117796980.0,2979987.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4138,282785213,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56557042.6,116593181.25900416,265106528.0,2714736.0,282785213.0,56557042.6,116593181.25900416,265106528.0,2714736.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4164,155798705,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31159741.0,59831028.03397359,138152263.0,2698600.0,155798705.0,31159741.0,59831028.03397359,138152263.0,2698600.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4246,156110107,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31222021.4,59817605.00120195,138193814.0,2969726.0,156110107.0,31222021.4,59817605.00120195,138193814.0,2969726.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4249,156109863,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31221972.6,59797330.05771158,138157862.0,3004576.0,156109863.0,31221972.6,59797330.05771158,138157862.0,3004576.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4291,12277429,5,3,698,639,698.0,0.0,139.6,312.15508965897067,639.0,0.0,213.0,368.9268220121709,1753918.4285714286,2363286.344190145,6018504.0,8.0,12150628.0,3037657.0,2457637.7784885224,6018504.0,133.0,127114.0,63557.0,89871.85767524781,127106.0,8.0,0,0,0,0,124,68,0.0,698.0,148.55555555555554,295.149585427081,87113.27777777778,1,4,0,2,5,0,0,0,0.0,167.125,139.6,213.0,0,0,0,0,0,0,0,87,0,79,64240,65535,1,20
4299,282733871,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56546774.2,116488227.1094369,264909834.0,2890589.0,282733871.0,56546774.2,116488227.1094369,264909834.0,2890589.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4409,156015035,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31203007.0,59807554.79165744,138155910.0,2904163.0,156015035.0,31203007.0,59807554.79165744,138155910.0,2904163.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4421,156044120,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31208824.0,59802600.01076271,138152618.0,2907340.0,156044120.0,31208824.0,59802600.01076271,138152618.0,2907340.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4465,156310277,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31262055.4,59883756.50592984,138352604.0,3008462.0,156310277.0,31262055.4,59883756.50592984,138352604.0,3008462.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4549,156294373,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31258874.6,59850213.25886629,138287761.0,2976068.0,156294373.0,31258874.6,59850213.25886629,138287761.0,2976068.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4678,155928062,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31185612.4,59878697.84823688,138268211.0,2804092.0,155928062.0,31185612.4,59878697.84823688,138268211.0,2804092.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
4849,156105358,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31221071.6,59739861.08329137,138054108.0,3006758.0,156105358.0,31221071.6,59739861.08329137,138054108.0,3006758.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
5154,112912563,22,7,1358,31444,702.0,0.0,61.727272727272734,199.91835996063656,8867.0,0.0,4492.0,4122.474378331538,4032591.535714285,14905398.533716649,63271827.0,23.0,112912563.0,5376788.714285715,17098008.341470204,63271827.0,23.0,49639476.0,8273246.000000001,20262647.005170584,49634201.0,861.0,0,0,0,0,448,148,0.0,8867.0,1093.4,2679.89096021101,7181815.558620689,1,2,0,4,28,0,0,0,0.0,1131.103448275862,61.72727272727273,4492.0,0,0,0,14519,4,3848131,0,46,0,1084,64240,8424,2,20
5863,559431846,6,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62159094.0,182761764.72276428,549494768.0,27491.0,559404355.0,111880871.0,244665002.2966709,549532776.0,501630.0,550527265.0,183509088.3333333,316976736.8269257,549522297.0,501713.0,0,0,0,0,168,80,0.0,0.0,0.0,0.0,0.0,0,6,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,28
5879,451862414,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41078401.27272727,135563798.20160654,449818110.0,27473.0,451834890.0,90366978.0,200954682.42318076,449845642.0,484705.0,451834873.0,90366974.6,200954684.8838829,449845643.0,484645.0,0,0,0,0,168,120,0.0,0.0,0.0,0.0,0.0,0,6,6,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,28
6811,1262424,8,11,240,18081,240.0,0.0,30.0,84.8528137423857,5840.0,0.0,1643.7272727272727,1612.9503458512968,70134.66666666666,246922.13157545173,1050476.0,14.0,1262315.0,180330.7142857143,431300.6765114543,1154523.0,56.0,1158690.0,115869.00000000004,330009.1064083603,1050476.0,14.0,0,0,0,0,168,228,0.0,5840.0,916.05,1432.9022618815502,2053208.892105263,1,2,0,2,18,0,0,0,1.0,964.2631578947368,30.0,1643.7272727272727,0,0,0,18081,9,4755654,0,12,0,951,64240,6432,1,20
7006,29241202,10,8,454,3100,227.0,0.0,45.4,95.71160384776294,2760.0,0.0,387.5,963.2970169460418,1720070.7058823532,2612720.419333309,8713383.0,14.0,24343284.0,2704809.333333333,2967286.503784518,8713383.0,321.0,20108584.0,2872654.8571428573,3189369.881659564,8914188.0,14.0,0,0,0,0,224,176,0.0,2760.0,187.05263157894737,629.5991205771962,396395.0526315789,1,5,0,6,15,0,0,0,0.0,197.44444444444449,45.4,387.5,0,0,0,0,0,0,0,25,0,172,64240,6432,2,20
7048,96195020,11,6,374,261,187.0,0.0,34.00000000000001,75.64522456837577,261.0,0.0,43.5,106.55280381106824,6012188.75,10967103.334543925,43349187.0,218.0,91389234.0,9138923.4,13071633.185722554,43349187.0,265.0,34208655.0,6841731.0,5874037.454053642,16960776.0,1732027.0,0,0,0,0,244,144,0.0,261.0,35.27777777777778,82.4826581099863,6803.388888888889,1,6,1,3,14,0,0,0,0.0,37.35294117647059,34.0,43.5,0,0,0,0,0,0,0,22,0,15,63979,6432,2,20
7252,64004022,10,5,558,261,186.0,0.0,55.8,89.84653582637452,261.0,0.0,52.2,116.72274842548904,4571715.857142858,7670759.626097995,28190570.0,200.0,59104718.0,6567190.888888889,9102714.642790476,28500090.0,270.0,42430167.0,10607541.75,11758263.796474217,28190570.0,3508854.0,0,0,0,0,232,116,0.0,261.0,51.1875,93.0900773444732,8665.7625,1,6,0,4,11,0,0,0,0.0,54.6,55.8,52.2,0,0,0,0,0,0,0,37,0,17,64240,6432,3,20
8232,433041067,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39367369.72727273,129882843.5710481,430978325.0,27408.0,433013562.0,86602712.4,192527142.5494401,431005735.0,500908.0,433013659.0,86602731.8,192529311.88299948,431009635.0,497082.0,0,0,0,0,168,120,0.0,0.0,0.0,0.0,0.0,0,6,6,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,28
8530,546309906,80,46,5464,9299,211.0,0.0,68.30000000000003,47.9225112927901,4380.0,0.0,202.1521739130436,747.5383889775622,4370479.248000001,23291698.613662664,155997086.0,11.0,546295627.0,6915134.518987342,29069072.207617365,156011347.0,11.0,546295882.0,12139908.48888889,37852832.511136,155997086.0,774.0,0,0,0,0,1616,928,0.0,4380.0,116.24409448818903,453.0753417940908,205277.26534183216,0,3,0,75,124,0,0,0,0.0,117.16666666666669,68.3,202.15217391304347,0,0,0,4613,8,7676,0,43,0,73,64240,6432,64,20
9068,7463248,8,4,464,148,232.0,0.0,58.0,107.39513157361596,148.0,0.0,37.0,74.0,678477.0909090909,1420866.010934983,4055106.0,8.0,6984783.0,997826.142857143,1734743.472031665,4055366.0,8.0,479021.0,159673.6666666667,276396.6391842226,478829.0,12.0,0,0,0,0,192,84,0.0,232.0,47.07692307692308,91.62465237629512,8395.076923076922,1,5,0,3,8,0,0,0,0.0,51.0,58.0,37.0,0,0,0,0,0,0,0,38,0,12,64240,6432,2,20
9075,6974153,8,3,444,148,222.0,0.0,55.5,102.76603107475322,148.0,0.0,49.333333333333336,85.44783984006462,697415.2999999999,1227611.0445717142,2999088.0,12.0,3493705.0,499100.7142857143,1114854.1666811127,2994862.0,12.0,3498226.0,1749113.0,1767731.5976273094,2999088.0,499138.0,0,0,0,0,192,64,0.0,222.0,49.333333333333336,91.08770332470624,8296.969696969698,1,5,0,3,7,0,0,0,0.0,53.81818181818182,55.5,49.333333333333336,0,0,0,0,0,0,0,40,0,13,64240,6432,2,20
9178,2261,10,5,2304,310,848.0,0.0,230.4,333.9791077963477,278.0,0.0,62.0,121.54011683390796,161.49999999999997,168.83571896965407,523.0,9.0,1899.0,211.0,304.247843049051,908.0,9.0,2074.0,518.5,550.2414621479071,1122.0,22.0,0,0,0,0,216,108,0.0,848.0,163.375,281.18389593526393,79064.38333333333,1,3,0,8,13,0,0,0,0.0,174.26666666666668,230.4,62.0,0,0,0,2614,8,1861823,0,153,0,20,64240,63208,6,20
9181,1915,10,5,2300,310,848.0,0.0,230.0,334.04191353780743,278.0,0.0,62.0,121.54011683390796,136.78571428571428,145.66884391630245,492.0,5.0,1503.0,167.00000000000003,270.400628697494,798.0,5.0,1731.0,432.75,426.7281531217113,912.0,68.0,0,0,0,0,216,108,0.0,848.0,163.125,281.1651649831465,79053.85,1,3,0,8,13,0,0,0,0.0,174.0,230.0,62.0,0,0,0,2610,8,2086330,0,153,0,20,64240,63210,6,20
9219,2522,10,5,2304,268,848.0,0.0,230.4,333.9791077963477,236.0,0.0,53.6,102.9018950262822,180.14285714285717,148.8204168906823,418.0,10.0,1816.0,201.7777777777778,273.07223301618285,779.0,10.0,2293.0,573.25,389.6942177314584,1023.0,197.0,0,0,0,0,216,108,0.0,848.0,160.75,280.23692357241816,78532.73333333334,1,3,0,8,13,0,0,0,0.0,171.46666666666667,230.4,53.6,0,0,0,2572,8,1711244,0,153,0,17,64240,63208,6,20
9221,2617,10,5,2300,268,848.0,0.0,230.0,334.04191353780743,236.0,0.0,53.6,102.9018950262822,186.92857142857144,171.4640416601031,518.0,10.0,1957.0,217.44444444444449,308.48869959494107,900.0,10.0,2350.0,587.5,456.2407989939815,1105.0,71.0,0,0,0,0,216,108,0.0,848.0,160.5,280.21563125564575,78520.80000000002,1,3,0,8,13,0,0,0,0.0,171.2,230.0,53.6,0,0,0,2568,8,1507927,0,153,0,17,64240,63210,6,20
9259,1710,10,5,2304,258,848.0,0.0,230.4,333.9791077963477,226.0,0.0,51.6,98.47233113925962,122.14285714285712,118.05009180777527,367.0,7.0,1336.0,148.44444444444446,204.53673943274293,614.0,7.0,1606.0,401.5,376.9363341467628,762.0,42.0,0,0,0,0,216,108,0.0,848.0,160.12500000000003,280.06900935305214,78438.65000000001,1,3,0,8,13,0,0,0,0.0,170.8,230.4,51.6,0,0,0,2562,8,2174872,0,153,0,17,64240,63208,6,20
9305,70642806,13,2,162,403,81.0,0.0,12.461538461538462,30.418238456051835,403.0,0.0,201.5,284.9640328181787,5045914.714285714,15859171.53001362,59827744.0,6.0,70642806.0,5886900.5,17083795.01919374,59827744.0,6.0,425307.0,425307.0,0.0,425307.0,425307.0,0,0,0,0,308,48,0.0,403.0,35.3125,101.8428323447458,10371.962499999998,1,7,0,3,9,0,0,0,0.0,37.66666666666666,12.461538461538462,201.5,0,0,0,0,0,0,0,10,0,26,64240,65454,2,20
9393,2510,10,5,2340,310,848.0,0.0,234.0,333.5092868938501,278.0,0.0,62.0,121.54011683390796,179.28571428571428,171.2337262661448,472.0,11.0,1834.0,203.7777777777778,290.6104685733886,868.0,11.0,2352.0,588.0,483.4032133392026,1073.0,25.0,0,0,0,0,216,108,0.0,848.0,165.625,281.42704797750577,79201.18333333333,1,3,0,8,13,0,0,0,0.0,176.66666666666666,234.0,62.0,0,0,0,2650,8,1524741,0,156,0,20,64240,63190,6,20
9400,1932,10,5,2300,310,848.0,0.0,230.0,334.04191353780743,278.0,0.0,62.0,121.54011683390796,138.0,149.9256225856418,505.0,6.0,1507.0,167.44444444444446,271.1812636923462,801.0,6.0,1739.0,434.75,437.0517703888179,916.0,59.0,0,0,0,0,216,108,0.0,848.0,163.125,281.1651649831465,79053.85,1,3,0,8,13,0,0,0,0.0,174.0,230.0,62.0,0,0,0,2610,8,2063241,0,153,0,20,64240,63210,6,20
